Artists,Name,Weekly rank,Peak position,Weeks on chart,Week
Becky G + Natti Natasha,Sin Pijama,99,83,5,2018-07-21
Drake,Is There More,100,36,2,2018-07-21
Drake,Nice For What,1,1,3,2018-07-14
"Cardi B, Bad Bunny, J Balvin",I Like It,3,1,13,2018-07-14
Drake,God's Plan,4,1,24,2018-07-14
"Maroon 5, Cardi B",Girls Like You,5,4,6,2018-07-14
Drake,In My Feelings,6,,,2018-07-14
Drake,I'm Upset,7,7,6,2018-07-14
Drake,Emotionless,8,,,2018-07-14
"Drake, Michael Jackson",Don't Matter To Me,9,,,2018-07-14
XXXTENTACION,Sad!,10,1,18,2018-07-14
Ella Mai,Boo'd Up,11,6,14,2018-07-14
"Post Malone, Ty Dolla $ign",Psycho,12,1,19,2018-07-14
Drake,Mob Ties,13,,,2018-07-14
Drake,Elevate,14,,,2018-07-14
Ariana Grande,No Tears Left To Cry,15,3,11,2018-07-14
Juice WRLD,Lucid Dreams,16,3,8,2018-07-14
Drake,Survival,17,,,2018-07-14
Drake,Can't Take A Joke,18,,,2018-07-14
"Zedd, Maren Morris, Grey",The Middle,19,5,23,2018-07-14
"Drake, JAY",Talk Up,20,,,2018-07-14
Drake,8 Out Of 10,21,,,2018-07-14
"Bebe Rexha, Florida Georgia Line",Meant To Be,22,2,37,2018-07-14
Taylor Swift,Delicate,23,20,17,2018-07-14
Post Malone,Better Now,24,7,10,2018-07-14
Bazzi,Mine,25,11,24,2018-07-14
"Lil Baby, Drake",Yes Indeed,26,6,8,2018-07-14
Drake,Sandra's Rose,27,,,2018-07-14
Drake,Summer Games,28,,,2018-07-14
Ed Sheeran,Perfect,29,1,45,2018-07-14
Drake,Blue Tint,30,,,2018-07-14
Shawn Mendes,In My Blood,31,11,16,2018-07-14
Drake,Jaded,32,,,2018-07-14
"Marshmello, Anne",Friends,33,11,21,2018-07-14
Dan + Shay,Tequila,34,21,17,2018-07-14
Camila Cabello,Never Be The Same,35,6,29,2018-07-14
Drake,Is There More,36,,,2018-07-14
Drake,That's How You Feel,37,,,2018-07-14
Drake,Peak,38,,,2018-07-14
"Tyga, Offset",Taste,39,30,6,2018-07-14
Imagine Dragons,Whatever It Takes,40,12,23,2018-07-14
"Drake, Static Major, Ty Dolla $ign",After Dark,41,,,2018-07-14
Drake,Finesse,42,,,2018-07-14
The Carters,Apes**t,43,13,3,2018-07-14
"BlocBoy JB, Drake",Look Alive,44,5,21,2018-07-14
"Calvin Harris, Dua Lipa",One Kiss,45,30,13,2018-07-14
"Khalid, Normani",Love Lies,46,34,20,2018-07-14
XXXTENTACION,Moonlight,47,13,12,2018-07-14
Cardi B,Be Careful,48,11,14,2018-07-14
Selena Gomez,Back To You,49,22,8,2018-07-14
Childish Gambino,This Is America,50,1,9,2018-07-14
Drake,Ratchet Happy Birthday,51,,,2018-07-14
Lauv,I Like Me Better,52,41,21,2018-07-14
Kenny Chesney,Get Along,53,44,13,2018-07-14
Florida Georgia Line,Simple,54,45,5,2018-07-14
XXXTENTACION,Changes,55,18,12,2018-07-14
Drake,Final Fantasy,56,,,2018-07-14
Drake,March 14,57,,,2018-07-14
"Nicky Jam, J Balvin",X,58,41,18,2018-07-14
Foster The People,Sit Next To Me,59,51,16,2018-07-14
Juice WRLD,All Girls Are The Same,60,41,8,2018-07-14
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna, Bad Bunny",Te Bote,61,36,11,2018-07-14
"Morgan Wallen, Florida Georgia Line",Up Down,62,49,15,2018-07-14
Queen Naija,Karma,63,,,2018-07-14
Brett Young,Mercy,64,48,9,2018-07-14
Luke Combs,One Number Away,65,34,16,2018-07-14
